municipality,direct,true,hhsize,age_hh,male_hh,piped_water,no_piped_water,no_sewage,sewage_pub,sewage_priv,electricity,telephone,cellphone,internet,computer,washmachine,fridge,television,share_under15,share_elderly,share_adult,max_tertiary,max_secondary,share_female
1011001,.073193915,.07924474,-.39270183,-.65626454,-.32798183,.71371871,-.70391488,-.77647132,1.3169228,-1.3083571,.72130233,1.4536105,1.1264966,1.9276987,2.1026449,1.270687,.99715,.80699843,-.27925113,-.97714597,.96309292,1.6710497,-.90030491,.28815609
1011002,.31120333,.26254165,1.1618668,-.75102687,.69377631,.68733919,-.68391848,-.4449648,.98385346,-.98129201,.41924849,-.37098452,.2326843,-.35137689,-.04409036,.9176932,.54311949,.67402333,1.2554739,-1.0523529,-.68043703,-.56356329,1.9570282,-.016483467
1011003,.23181818,.24380489,.24957375,.022898538,.32690635,.70991063,-.69842178,-.76481599,1.1918637,-1.1814837,.59743339,1.1259325,.34012723,.20918213,.26318577,1.2623385,.94874567,.78016931,.35047427,.012677618,-.40914759,-.57419717,1.0662732,-.13708557
1011004,.18229167,.24661399,1.3905418,-.28489235,1.052509,.76075101,-.76279724,-.70135921,1.3236141,-1.317741,.59147322,-.45878586,.41074944,-.49385434,-.076024473,.90350729,.69371349,.72944599,1.1868286,-.87834537,-.72423005,-.083351761,1.7796488,.17155549
1011005,.078313246,.092253141,.22397189,-1.6106344,.86659652,.69510251,-.68942064,-.76932853,1.2286304,-1.2226436,.61371058,1.1606859,1.0855249,1.4070824,1.6947212,1.2317567,.88563126,.75079358,.92395133,-1.5559703,.025721399,1.3884156,-.81554872,-.16169296
1011006,.14516129,.14248446,.76760846,-.98951972,-.011451566,.67893773,-.6709584,-.72302973,1.2432742,-1.2313638,.5214588,.42096192,.78909659,.83839476,1.227126,1.1974555,.80229324,.75987655,1.2385062,-1.1005937,-.61211467,.79922712,.52715087,.38292682
1011007,.3651877,.23951359,1.352375,-.88818288,.29441708,.67533278,-.67862254,-.66700858,1.2393913,-1.2367169,.63619125,-.096732244,.539428,.21641059,.58325493,1.0183063,.76172054,.72173828,1.4506438,-1.3566018,-.68479747,.50444072,1.3137321,-.055408567
1011008,.21276596,.20765589,.97749138,-1.1195837,-.69044018,.63617802,-.62472868,-.56033808,1.1912366,-1.1890188,.36339861,.10352138,.80846429,-.32366672,.38641298,.90085369,.60498297,.56392497,1.6652709,-1.0315174,-1.1400669,.3315689,1.2887563,-.03375826
1011009,.22429907,.22877134,.79893732,-.76182109,1.2763617,.70532334,-.69383693,-.66083157,1.1803299,-1.1763854,.42196843,-.65648824,.30649474,-.50060141,-.26736662,.98230356,.59781903,.6316098,1.304337,-.257402,-1.2499937,-.41119412,1.6745521,.037366509
1011010,.23076923,.23639752,.74087167,-.79198575,1.4122326,.5652582,-.55384701,-.42485514,.88450658,-.87833214,-.051869318,-.87513483,.26236582,-.80070978,-.31243694,.70876038,.39761913,.57156044,1.0490737,-.95564163,-.50440562,-.20274778,1.0346533,-.56388396
